Tick #1
Last tick 0 agents died
50/50 players still alive:
Agent #15 at (194.98755277192188, 163.1465586712789), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (352.5683289460587, 305.1733465427504), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #17 at (72.45939306989328, 348.91762914057233), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #18 at (284.07460656122424, 410.1376576144051), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #19 at (137.27322325963723, 244.8819059066726), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #20 at (77.14725307753534, 297.1038156987757), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #21 at (84.69359696406127, 59.062738341869675), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #22 at (482.2802480235845, 10.79266989707083), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #23 at (65.99962637103508, 429.8415828789666), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #24 at (136.34071016874074, 460.6701551678442), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #25 at (187.1318013033301, 350.1656318735801), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #26 at (426.5944612471418, 281.36495259835874), 94.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #27 at (325.2255767398946, 224.21931151909914), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #28 at (8.363626849158877, 209.00603355786615), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #29 at (303.2946831712791, 327.693038255061), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #30 at (175.32700210761612, 296.70476508028713), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #31 at (458.7100421506137, 487.05408809248524), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #32 at (386.61876299743113, 85.21552154718302), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
Agent #33 at (472.517442361774, 365.050725477841), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #34 at (284.01921145197787, 466.9069688010087), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #35 at (427.65788726844744, 378.88932769074734), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #36 at (183.80606293284063, 126.49440973579065), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #37 at (368.083118994337, 21.526278092850884), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #38 at (279.69405684918354, 221.6807974641803), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #39 at (78.96791793951216, 30.852289679301684), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #40 at (180.13508986461858, 206.65840260324677), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #41 at (33.63585795047033, 299.70543341082845), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #42 at (59.60620849511653, 291.60803280268203), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Agent #43 at (213.07445824381247, 36.81092739885232), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #44 at (416.46425457035684, 18.017106556068356), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #45 at (37.31565238611572, 421.08032200708897), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #46 at (424.4673151695086, 482.8046993050709), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #47 at (243.44604817922803, 15.30207785396277), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #48 at (59.65041895385933, 286.5867951114284), 94.0/100.0 HP left, Weapon: none, Armor: none
Agent #49 at (482.6282727816123, 187.82245813902279), 100.0/100.0 HP left, Weapon: Pistol, Armor: none
Tick #6
Last tick 0 agents died
50/50 players still alive:
Agent #0 at (240.73775275593835, 485.42122349375927), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #1 at (328.4620847189775, 150.86533377246136), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #2 at (131.8223229833806, 228.45203237688835), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #3 at (102.54650382373707, 236.62900632728906), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #4 at (78.45487842268834, 78.18958670325652), 100.0/100.0 HP left, Weapon: Shotgun, Armor: none
Agent #5 at (472.42837349987707, 412.05882541800474), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #6 at (169.90633513055585, 422.49360833540413), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #7 at (158.21640736894588, 197.2253736367209), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #8 at (148.33116667402953, 82.7337467114842), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #9 at (176.70478566540373, 188.17280413997938), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #10 at (442.0788759431029, 92.32739965176428), 96.0/100.0 HP left, Weapon: none, Armor: none
Agent #11 at (88.51204537814758, 467.89756524952804), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #12 at (406.9730057348594, 21.00892965552467), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #13 at (477.12641992773666, 316.87827851978807), 84.0/100.0 HP left, Weapon: none, Armor: none
Agent #14 at (365.2348912058144, 294.6024198008001), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #15 at (195.7808380192502, 161.31061245301126), 100.0/100.0 HP left, Weapon: none, Armor: none
Agent #16 at (351.460078070865, 306.83821290304246), 100.0/100.0 HP left, Weapon: Rifle, Armor: none
